Filename,Volume,x,y,z
00047313_labeled.obj,119.2368477,7.626334826,5.54253748,7.600593145
00077279_labeled.obj,42.75962918,7.313619961,6.7058612,2.087330088
00052275_labeled.obj,116.7143764,35.41744474,11.24854582,11.09676771
00048320_labeled.obj,11.19660583,3.058162602,4.984896894,2.512043474
00061122_labeled.obj,25.78389063,6.71775052,3.312803561,3.472016692
00052286_labeled.obj,13.95449402,2.537540715,2.908340834,4.586948891
00080213_labeled.obj,125.3037572,6.645749314,6.827813206,7.250326752
00019311_labeled.obj,113.9580069,5.835790827,7.222890854,5.636543035
00099566_labeled.obj,69.43632139,7.299077631,4.234500606,5.587373117
00037384_labeled.obj,5.169562317,5.686030243,2.853489133,7.471818364
00006085_labeled.obj,86.52608543,9.681702865,2.996701785,7.3951549
00070356_labeled.obj,25.27617148,2.148138153,5.015796934,6.229635366
00023011_labeled.obj,23.69675889,4.238695809,2.946408785,2.183845699
00020484_labeled.obj,71.01269396,5.784660879,3.323140093,6.619287881
00029050_labeled.obj,11.37608342,6.04530296,2.873298195,4.547445461
00090710_labeled.obj,23.17632883,2.778691475,2.670937265,6.24231091
00032018_labeled.obj,21.13958087,5.43208074,5.21781288,2.979238979
00095707_labeled.obj,61.69722555,6.905898903,2.102049914,8.140280993
00074586_labeled.obj,63.28506452,5.261649989,4.794090083,4.903080111
00053074_labeled.obj,55.96707448,7.303853227,4.14692332,4.512001676
00092906_labeled.obj,42.84494387,2.574482349,2.757577659,4.525891158
00051375_labeled.obj,102.4820158,6.86790606,8.230317722,4.27932947
00046791_labeled.obj,26.89321805,3.262594493,3.730177126,5.828280942
00057491_labeled.obj,16.16547399,4.582778372,4.746698972,3.051681048
00000685_labeled.obj,21.26281499,4.977002288,2.283414205,5.231806726
00082232_labeled.obj,8.481877503,7.239513927,3.2673296,2.643047861
00066278_labeled.obj,12.97944637,4.682226614,5.349152693,5.806304289
00043611_labeled.obj,85.85528992,7.779270711,5.004781816,5.255977012
00007362_labeled.obj,80.31942406,5.954707512,5.946518044,5.705735298
00048823_labeled.obj,150.9706386,8.59207216,6.873765904,5.42666304
00076526_labeled.obj,24.97604048,2.891311741,5.892762331,3.405903024
00041120_labeled.obj,201.2212381,35.54260522,11.55118147,12.11071737
00010389_labeled.obj,47.92678395,4.97065048,5.073705707,5.226639786
00018635_labeled.obj,157.6327913,6.751791395,6.363235338,8.031943831
00060981_labeled.obj,68.95325177,2.710644644,4.830814823,7.244574301
00085311_labeled.obj,5.304936346,5.91804644,3.334216172,4.646115823
00070207_labeled.obj,11.43261343,2.212937432,5.964821336,2.600711554
00051897_labeled.obj,10.3826267,3.752722885,3.9120369,2.247410892
00057051_labeled.obj,26.79178932,7.3723203,3.098605483,3.840912246
00090142_labeled.obj,18.15791279,2.002607692,3.656337207,6.407985483
00068637_labeled.obj,145.6821074,6.980610616,5.745633383,7.395344853
00067361_labeled.obj,67.63945695,4.868159391,4.677749794,6.143032752
00041522_labeled.obj,72.78613088,8.166575673,6.124807427,3.824312974
00055019_labeled.obj,61.61028328,6.26262029,6.29127718,4.593190973
00023733_labeled.obj,46.9931003,5.934326335,2.682114904,6.348606576
